	m	o	x	s	u	w	y	{	}	þ	 	"	ö	ü	(	*	,	.	0	2	4	6	8	:	@	­	&	0xc	·	»	0xb	¿	\	q	b	d	f	h	j	l	n	p	r	t	v	0xd	z	ç	0x9	!	#	%	'	)	[	-	/	1	3	5	7	9	;	?	0xa	ð	¡	«	ý	]	_	a	c	e	g	i	k	"																																																																	
·	15	3	2	17	1	0	8	0	1	0	6687	1	0	2	6	0	6	8	0	9	1	1	0	1	2	0	0	0	111	0	0	0	0	0	20	10	4	7	0	2	22	2	11	10	1	10	2	2	184	0	0	0	7	0	0	0	5	4	3	2	1	0	0	0	2	0	0	0	0	3	0	15	8	9	6	13	9
»	8	1	0	1	0	2	0	0	0	1	515	2	0	0	2	0	16	9	0	14	0	0	1	2	0	0	0	0	0	48	0	0	0	0	0	8	0	0	1	2	1	0	0	3	0	28	0	0	0	1	0	0	0	5	0	0	0	15	0	0	0	0	0	0	2	0	0	6	1	0	1	2	0	0	0	2	0
0xb	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
¿	0	0	1	1	0	0	0	0	0	0	64	18	0	0	1	0	51	5	0	0	0	0	0	1	1	0	1	0	0	0	0	22	0	60	3	7	2	3	0	0	4	4	0	2	0	26	0	1	0	15	0	2	0	31	0	0	0	0	0	0	0	0	0	17	30	0	0	0	0	2	0	4	2	0	1	0	1
\	83	29	8	164	30	124	20	2	0	0	255	125	1	0	4	8	24	15	14	6	2	2	1	1	4	0	0	0	0	0	0	0	86	2	41	90	33	26	4	26	151	52	35	48	9	85	6	4	0	0	6	2	21	4	5	8	49	10	2	1	2	0	4	1	1	0	0	0	0	48	47	62	90	36	14	52	28
q	170	305	36	324	63081	238	187	0	1	2	8869	108	0	12	53	13	516	583	46	148	27	11	11	280	4	0	15	0	0	0	0	0	6	152	213	698	99	43	13	1393	217	52	348	344	80	110	23	4	2	27	76	25	1792	621	0	128	118	83	324	5	8	22	32	15	44	1	0	0	74	23	30	968	102	266	32	486	20
b	6729	520077	335	16254	1600462	2385	51955	0	5	246	47881	672	107547	212545	181	146	3277	11169	215	605	256	166	122	2308	76	3	98	0	0	2	0	0	13	73	43203	17721	1102	1558	9964	151668	12857	1611	127365	4441	745	1885	8082	97	47	179	9	14	5326	6211	21	4073	820	566	281	337	272	102	106	147	219	34	1	0	110143	183	110	1706269	7002	1401809	4197	4139915	1140942
d	13171	682259	1319	64605	1282675	7377	75515	3	27	131	729439	4790	113985	391782	614	180	39975	30507	201	1113	1122	454	364	5365	115	10	553	0	2	3	0	1	33	190	10841	123402	4520	5700	7638	76249	18590	3760	135787	13068	11329	58841	1152	165	67	2143	29	46	34193	21100	31	6448	1931	1392	675	985	272	321	1147	2647	5929	499	1	1	984389	449	386	4035562	7503	4600743	11900	3471109	7103
f	4374	282707	806	23803	112501	609	10677	2	7	544	385846	1667	5925	13075	944	228	11164	14792	289	612	362	594	199	2593	61	4	90	0	4	0	0	0	10	52	2544	1819	68286	3328	284	118230	1670	1273	162805	123361	224	6478	464	2505	31	823	70	67	5158	7201	16	3243	613	2451	633	503	129	135	252	407	722	12	1	0	108510	107	194	570879	6346	396010	2386	549016	9545
h	64620	351735	133	60634	160081	3525	29652	5	9	6292	393115	5209	7269	37492	414	183	39120	20923	88	2238	123	67	55	4035	124	10	108	0	0	3	0	0	3	315	13954	8672	2408	33025	822	68343	62512	9520	89961	277696	21097	22871	5826	15937	23	5687	10	11	17637	17566	12	5754	1344	436	137	57	30	27	595	1470	2584	53	12	0	62772	343	201	2060430	14250	1578957	1141	785651	17927
j	1139	51690	71	919	56653	69	1697	0	5	20	28779	218	2620	1288	26	19	1497	3399	23	148	29	5	8	617	19	1	56	0	0	0	0	0	0	12	794	8550	277	410	1535	12938	704	2599	1208	519	184	285	79	5	4	61	6	2	3634	1085	1	297	201	66	26	4	150	20	54	28	53	6	0	0	10621	50	24	86075	592	70571	351	93962	1985
l	1471143	460580	327	237028	1155241	9785	165803	10	35	984	1408565	10029	3360	298305	1260	312	78802	56446	80	516	120	60	56	11830	337	83	159	0	2	8	0	2	22	396	140738	1135654	40654	16643	3192	1198283	33341	27122	9344	281138	27048	37297	12502	20947	109	3356	77	22	46649	36754	64	9847	3425	344	283	57	142	96	2281	3206	3961	332	3	0	1030010	399	656	6421610	82728	5333928	225057	3521794	317995
n	468426	420177	2318	747869	1151290	3243	211409	15	133	8521	9259282	42898	5621	203671	6397	760	505789	279819	198	869	145	85	85	62420	526	120	262	0	17	13	0	20	84	2897	66603	3521652	38552	11913	10631	1408290	189340	5493	251548	653573	17705	117421	70976	65748	205	16175	31	52	187655	121962	156	18517	8359	682	609	108	244	342	16710	31630	15976	107	10	4	1237043	1217	919	1834288	755296	2443108	650249	3083072	242609
